date,equity
2003-10-07,1000.0
2003-10-08,998.3304574269047
2003-10-09,1005.5266052710637
2003-10-10,996.4943228130252
2003-10-13,1178.7320002786023
2003-10-14,1184.3541722841994
2003-10-15,1185.1117904360863
2003-10-16,1181.7833332540015
2003-10-17,1164.8972029868717
2003-10-20,1178.2630352052938
2003-10-21,1174.9049213640014
2003-10-22,1148.393859027302
2003-10-23,1148.225745925188
2003-10-24,1150.9718840489527
2003-10-27,1335.8067873300276
2003-10-28,1352.1796028232986
2003-10-29,1355.8769907669039
2003-10-30,1361.4578654271575
2003-10-31,1362.2994784581579
2003-11-03,1387.6561621624285
2003-11-04,1381.7951122829331
2003-11-05,1385.974936764843
2003-11-06,1400.0861048169645
2003-11-07,1370.5970154580132
2003-11-10,1536.3708661455835
2003-11-11,1536.8400273747118
2003-11-12,1542.3803077110606
2003-11-13,1536.3262377295125
2003-11-14,1529.2818190661346
2003-11-17,1534.801857371262
2003-11-18,1504.343283882135
2003-11-19,1519.840729171316
2003-11-20,1507.1148472419914
2003-11-21,1512.1129048059538
2003-11-24,1727.4305234636765
2003-11-25,1725.4359437217836
2003-11-26,1722.7088645237964
2003-11-28,1719.7319808178556
2003-12-01,1741.7395674119127
2003-12-02,1728.2438026541138
2003-12-03,1730.0306969732494
2003-12-04,1750.6926652893249
2003-12-05,1728.830395965997
2003-12-08,1912.2123358916692
2003-12-09,1911.8285216598392
2003-12-10,1915.1696035883767
2003-12-11,1944.5592461850938
2003-12-12,1944.2259257570454
2003-12-15,1935.2662127181059
2003-12-16,1962.0462413038658
2003-12-17,1968.152270401383
2003-12-18,1996.080242402498
2003-12-19,1999.0962901917605
2003-12-22,2181.4235027994155
2003-12-23,2169.0013756922554
2003-12-24,2145.6522040460677
2003-12-26,2151.1489667777014
2003-12-29,2176.3160558880472
2003-12-30,2154.0998601826095
2003-12-31,2160.4559840884613
2004-01-02,2152.393475682096
2004-01-05,2336.418174070171
2004-01-06,2347.4699336429276
2004-01-07,2359.520508336833
2004-01-08,2350.0108811698146
2004-01-09,2323.0300394013507
2004-01-12,2342.645851474227
2004-01-13,2321.7404769239665
2004-01-14,2370.3701223973576
2004-01-15,2386.2800016039364
2004-01-16,2399.2729072233756
2004-01-20,2567.065518298899
2004-01-21,2600.478318742188
2004-01-22,2584.9066126857365
2004-01-23,2608.222584111702
2004-01-26,2639.4867470884833
2004-01-27,2603.6250769108156
2004-01-28,2612.40016615147
2004-01-29,2621.327791867676
2004-01-30,2610.047637550715
2004-02-02,2822.938394186175
2004-02-03,2817.1557629529434
2004-02-04,2792.5537158381803
2004-02-05,2807.898032004985
2004-02-06,2803.953069869006
2004-02-09,2818.4358741754704
2004-02-10,2832.2534570842026
2004-02-11,2827.5623645411997
2004-02-12,2826.838154928612
2004-02-13,2819.9739013047547
2004-02-17,3001.3925632114283
2004-02-18,3015.60424346957
2004-02-19,3015.937379810383
2004-02-20,3023.9990316070457
2004-02-23,3015.292818491268
2004-02-24,2997.357716926068
2004-02-25,3022.9466228749975
2004-02-26,3040.7223743156565
2004-02-27,3024.666521677992
2004-03-01,3236.411909228562
2004-03-02,3233.6617250335344
2004-03-03,3231.798270923941
2004-03-04,3224.5612228180416
2004-03-05,3208.5936467646898
2004-03-08,3164.866168028867
2004-03-09,3168.651496927308
2004-03-10,3118.7183598906568
2004-03-11,3065.755318073368
2004-03-12,3138.7851357051227
2004-03-15,3282.268808368622
2004-03-16,3298.833778983901
2004-03-17,3348.215291366471
2004-03-18,3319.0576426247044
2004-03-19,3286.687891710349
2004-03-22,3250.004534594059
2004-03-23,3241.1340068545605
2004-03-24,3258.807092870202
2004-03-25,3281.287527289338
2004-03-26,3253.5725166682596
2004-03-29,3455.598215098967
2004-03-30,3458.7007480861394
2004-03-31,3472.3914624107806
2004-04-01,3486.7502997433444
2004-04-02,3530.2278321033596
2004-04-05,3549.3977307553446
2004-04-06,3530.158959032615
2004-04-07,3521.290281041056
2004-04-08,3553.4661369002456
2004-04-12,3750.5037021523285
2004-04-13,3720.089336708168
2004-04-14,3750.3936390871318
2004-04-15,3735.281394623558
2004-04-16,3767.7347929500693
2004-04-19,3768.0059585014296
2004-04-20,3734.788358943493
2004-04-21,3768.1365679026676
2004-04-22,3805.1438800387723
2004-04-23,3822.5842640753203
2004-04-26,3976.1869271818186
2004-04-27,3980.496875993859
2004-04-28,3995.329311548418
2004-04-29,3952.1732951870563
2004-04-30,3919.5577097500595
2004-05-03,3965.907925800838
2004-05-04,3959.3442362373103
2004-05-05,3988.479100555208
2004-05-06,3966.267138844795
2004-05-07,3920.4923615987386
2004-05-10,4082.5886821078598
2004-05-11,4102.212386300451
2004-05-12,4129.32442339065
2004-05-13,4131.065889935615
2004-05-14,4115.7483014213485
2004-05-17,4104.918938040019
2004-05-18,4110.718867307325
2004-05-19,4054.5829112626957
2004-05-20,4044.7166437960896
2004-05-21,4059.4237466388026
2004-05-24,4254.636271551683
2004-05-25,4316.083617646011
2004-05-26,4329.522043612453
2004-05-27,4311.289925416194
2004-05-28,4328.027574364808
2004-06-01,4335.897757442893
2004-06-02,4332.953255022414
2004-06-03,4297.619179037583
2004-06-04,4297.714247573029
2004-06-07,4523.339247196476
2004-06-08,4539.605896067443
2004-06-09,4536.042125357724
2004-06-10,4555.843546443606
2004-06-14,4572.408215906382
2004-06-15,4576.604569542138
2004-06-16,4591.708499167842
2004-06-17,4583.928692496556
2004-06-18,4560.028068232001
2004-06-21,4723.252597999907
2004-06-22,4725.769377227856
2004-06-23,4772.789369509032
2004-06-24,4710.809319854714
2004-06-25,4777.006521208355
2004-06-28,4677.461764165653
2004-06-29,4690.370263229183
2004-06-30,4671.624016840318
2004-07-01,4601.9540022716
2004-07-02,4569.273078375854
2004-07-06,4722.962292013775
2004-07-07,4717.37653801945
2004-07-08,4673.827782552374
2004-07-09,4684.338255023441
2004-07-12,4690.220089251483
2004-07-13,4690.3732549887545
2004-07-14,4694.5707361477025
2004-07-15,4665.668073637544
2004-07-16,4618.546144028221
2004-07-19,4765.958492693067
2004-07-20,4843.346698027707
2004-07-21,4793.0643950234635
2004-07-22,4785.521853595166
2004-07-23,4768.263859500679
2004-07-26,4788.081418709462
2004-07-27,4837.398230357614
2004-07-28,4839.546588792677
2004-07-29,4845.542850083204
2004-07-30,4879.889700966689
2004-08-02,5069.221507984378
2004-08-03,4978.5360182416525
2004-08-04,4971.7424984596355
2004-08-05,4900.696808071345
2004-08-06,4830.392304922593
2004-08-09,4834.553311155357
2004-08-10,4905.310001207441
2004-08-11,4914.1634561219325
2004-08-12,4885.85219755879
2004-08-13,4844.121558637862
2004-08-16,5033.6690613006485
2004-08-17,5061.894458371529
2004-08-18,5105.336334102954
2004-08-19,5059.700712432198
2004-08-20,5100.371884632253
2004-08-23,5122.709706822757
2004-08-24,5123.392128133015
2004-08-25,5153.329810080053
2004-08-26,5164.198568821569
2004-08-27,5205.108582955475
2004-08-30,5357.169869122295
2004-08-31,5365.068797098955
2004-09-01,5350.958880241763
2004-09-02,5385.0584701084745
2004-09-03,5363.953152804449
2004-09-07,5347.411191293966
2004-09-08,5346.993786890939
2004-09-09,5327.3830644137915
2004-09-10,5369.28176763503
2004-09-13,5608.893209019356
2004-09-14,5586.330470862434
2004-09-15,5558.130301112052
2004-09-16,5548.070290327579
2004-09-17,5599.594473448257
2004-09-20,5555.14522254127
2004-09-21,5549.748507656088
2004-09-22,5465.776588394253
2004-09-23,5423.584702986643
2004-09-24,5424.229206056407
2004-09-27,5559.939695272601
2004-09-28,5584.432699005638
2004-09-29,5606.038394763934
2004-09-30,5566.423415497776
2004-10-01,5656.111120404305
2004-10-04,5716.37861443073
2004-10-05,5669.262884866182
2004-10-06,5701.736001757496
2004-10-07,5639.232480656428
2004-10-08,5556.832808970852
2004-10-11,5773.732625881152
2004-10-12,5757.519053617439
2004-10-13,5719.425588008593
2004-10-14,5663.993366873544
2004-10-15,5678.215499047247
2004-10-18,5723.345107644605
2004-10-19,5672.556454748358
2004-10-20,5609.815789406858
2004-10-21,5639.863977111924
2004-10-22,5536.395063745901
2004-10-25,5653.3326753646315
2004-10-26,5755.03574809106
2004-10-27,5828.419426460147
2004-10-29,5804.570705097718
2004-11-01,5846.002867712096
2004-11-02,5863.728125581308
2004-11-03,5845.670028239685
2004-11-04,5923.96847489642
2004-11-05,5912.245346588555
2004-11-08,6070.50427870964
2004-11-09,6085.301671487799
2004-11-10,6072.3670437607425
2004-11-11,6117.532115994726
2004-11-12,6150.977089501888
2004-11-15,6210.887677475109
2004-11-16,6130.901435517096
2004-11-17,6158.728784873558
2004-11-18,6235.419718612849
2004-11-19,6087.037622920272
2004-11-22,6269.333498015801
2004-11-23,6280.308058720852
2004-11-24,6262.56540923036
2004-11-26,6241.175041526661
2004-11-29,6260.443755399612
2004-11-30,6276.066618804022
2004-12-01,6323.652604369169
2004-12-02,6386.2467963610325
2004-12-03,6357.834424422093
2004-12-06,6592.5247386284145
2004-12-07,6571.815656761571
2004-12-08,6654.513292555867
2004-12-09,6709.340218761483
2004-12-10,6724.585923033989
2004-12-13,6803.798785154963
2004-12-14,6880.54209062657
2004-12-15,6818.429465262051
2004-12-16,6862.564823750298
2004-12-17,6790.565038636917
2004-12-20,6972.778858543618
2004-12-21,7019.656931095944
2004-12-22,7099.4487038781945
2004-12-23,7069.322367973924
2004-12-27,6972.269444651126
2004-12-28,6998.8953766418945
2004-12-29,6967.389835608353
2004-12-30,6926.391367663465
2004-12-31,6895.048202342937
2005-01-03,7080.676685926356
2005-01-04,7071.995990362149
2005-01-05,7042.41219671099
2005-01-06,7138.561287069498
2005-01-07,7106.138669054295
2005-01-10,7079.017945826795
2005-01-11,7020.8968194196605
2005-01-12,6945.598521796116
2005-01-13,6895.374581966773
2005-01-14,6993.523172037872
2005-01-18,7304.354386787044
2005-01-19,7258.300030502037
2005-01-20,7241.051269141455
2005-01-21,7102.40513219606
2005-01-24,7130.6402044386095
2005-01-25,7214.256996145912
2005-01-26,7223.9771517275685
2005-01-27,7262.071021552423
2005-01-28,7265.5340527564285
2005-01-31,7502.731681487745
2005-02-01,7499.283160453456
2005-02-02,7556.243193007338
2005-02-03,7553.706319987991
2005-02-04,7685.834802463711
2005-02-07,7711.348929994226
2005-02-08,7681.564284145161
2005-02-09,7617.99027596135
2005-02-10,7611.862775929198
2005-02-11,7627.572005369634
2005-02-14,7802.003633627611
2005-02-15,7811.201389061577
2005-02-16,7851.603369401912
2005-02-17,7739.120670168
2005-02-18,7788.613285332682
2005-02-22,7621.463710918067
2005-02-23,7811.7385380449
2005-02-24,7814.824449944038
2005-02-25,7886.657991307384
2005-02-28,7980.698065565137
2005-03-01,8060.471881881049
2005-03-02,8040.143836677379
2005-03-03,8076.904371416106
2005-03-04,8098.677908155307
2005-03-07,8083.309873112017
2005-03-08,7949.109448459258
2005-03-09,7825.821304719185
2005-03-10,7818.775174164143
2005-03-11,7784.909396163387
2005-03-14,8024.1095880546545
2005-03-15,7958.574299470505
2005-03-16,7864.520059801281
2005-03-17,7868.448764810598
2005-03-18,7841.3647178881965
2005-03-21,7877.506365833876
2005-03-22,7790.0289761262775
2005-03-23,7836.465683290227
2005-03-24,7846.311038513705
2005-03-28,8057.810145892866
2005-03-29,7948.057625324612
2005-03-30,8103.8457429196915
2005-03-31,8042.094684850937
2005-04-01,8031.210070958268
2005-04-04,8103.917473690593
2005-04-05,8115.750845886935
2005-04-06,8170.830757075487
2005-04-07,8216.542515354045
2005-04-08,8179.292092447261
2005-04-11,8387.910567477624
2005-04-12,8459.766972931631
2005-04-13,8360.500680225796
2005-04-14,8284.374906665762
2005-04-15,8197.131439157292
2005-04-18,8220.654920569144
2005-04-19,8224.15950713621
2005-04-20,8126.473477913628
2005-04-21,8281.619215115434
2005-04-22,8232.900004924037
2005-04-25,8475.75275827519
2005-04-26,8437.628585221115
2005-04-27,8512.518665613545
2005-04-28,8414.201201407759
2005-04-29,8568.046020661424
2005-05-02,8600.296122683136
2005-05-03,8601.344049754269
2005-05-04,8616.51356187051
2005-05-05,8608.080875234371
2005-05-06,8554.278097753742
2005-05-09,8766.002929839313
2005-05-10,8684.89950638036
2005-05-11,8786.110982947745
2005-05-12,8720.537645650971
2005-05-13,8782.769202560004
2005-05-16,8901.115324110648
2005-05-17,8930.689825690686
2005-05-18,8991.497747797652
2005-05-19,9016.989670740571
2005-05-20,9048.297184840156
2005-05-23,9233.068257032286
2005-05-24,9231.270775027233
