date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2003-11-20,1829.074260296994,1409.074260296994,420.0,1450.0,0.0
2003-11-21,1834.043804152137,1414.043804152137,420.0,1450.0,0.0
2003-11-24,1869.160561246905,1449.160561246905,420.0,1450.0,0.0
2003-11-25,1867.3622169145435,1447.3622169145435,420.0,1450.0,0.0
2003-11-26,1864.9052133021605,1444.9052133021605,420.0,1450.0,0.0
2003-11-28,1862.221590406341,1442.221590406341,420.0,1450.0,0.0
2003-12-01,1882.0618228001963,1462.0618228001963,420.0,1450.0,0.0
2003-12-02,1869.8945521315968,1449.8945521315968,420.0,1450.0,0.0
2003-12-03,2051.504729429595,1601.504729429595,450.0,1600.0,150.0
2003-12-04,2072.0584968898274,1622.0584968898272,450.0,1600.0,0.0
2003-12-05,2050.3114700697256,1600.3114700697256,450.0,1600.0,0.0
2003-12-08,2053.675332237851,1603.6753322378509,450.0,1600.0,0.0
2003-12-09,2053.326217575772,1603.326217575772,450.0,1600.0,0.0
2003-12-10,2056.366720188183,1606.366720188183,450.0,1600.0,0.0
2003-12-11,2083.112683021096,1633.1126830210962,450.0,1600.0,0.0
2003-12-12,2082.808655749532,1632.8086557495321,450.0,1600.0,0.0
2003-12-15,2074.6558662468697,1624.6558662468697,450.0,1600.0,0.0
2003-12-16,2099.0264695999076,1649.0264695999074,450.0,1600.0,0.0
2003-12-17,2284.5833476067255,1804.5833476067257,480.0,1750.0,150.0
2003-12-18,2312.3028880356,1832.3028880356,480.0,1750.0,0.0
2003-12-19,2315.2958502220918,1835.295850222092,480.0,1750.0,0.0
2003-12-22,2317.604737823606,1837.6047378236058,480.0,1750.0,0.0
2003-12-23,2306.20032752779,1826.2003275277898,480.0,1750.0,0.0
2003-12-24,2284.7615478555217,1804.761547855522,480.0,1750.0,0.0
2003-12-26,2289.809903952859,1809.8099039528586,480.0,1750.0,0.0
2003-12-29,2312.9164873225745,1832.9164873225743,480.0,1750.0,0.0
2003-12-30,2292.5188857846338,1812.5188857846338,480.0,1750.0,0.0
2003-12-31,2298.3538241492424,1818.3538241492422,480.0,1750.0,0.0
