date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-02-18,3078.5154159616495,2388.5154159616495,690.0,2200.0,0.0
2004-02-19,3078.809136616402,2388.809136616402,690.0,2200.0,0.0
2004-02-20,3085.899306241852,2395.899306241852,690.0,2200.0,0.0
2004-02-23,3078.241499264284,2388.241499264284,690.0,2200.0,0.0
2004-02-24,3062.4659315256304,2372.4659315256304,690.0,2200.0,0.0
2004-02-25,3084.9731812830123,2394.9731812830123,690.0,2200.0,0.0
2004-02-26,3100.608838274403,2410.608838274403,690.0,2200.0,0.0
2004-02-27,3086.4852080047995,2396.4852080047995,690.0,2200.0,0.0
2004-03-01,3114.408600704264,2424.408600704264,690.0,2200.0,0.0
2004-03-02,3112.113554784905,2422.113554784905,690.0,2200.0,0.0
2004-03-03,3290.559139925546,2570.559139925546,720.0,2350.0,150.0
2004-03-04,3284.1497152021493,2564.1497152021493,720.0,2350.0,0.0
2004-03-05,3270.004319114605,2550.004319114605,720.0,2350.0,0.0
2004-03-08,3231.268056051444,2511.268056051444,720.0,2350.0,0.0
2004-03-09,3234.5070379836216,2514.5070379836216,720.0,2350.0,0.0
2004-03-10,3191.781658620304,2471.781658620304,720.0,2350.0,0.0
2004-03-11,3146.462682331898,2426.462682331898,720.0,2350.0,0.0
2004-03-12,3208.9521412448958,2488.9521412448958,720.0,2350.0,0.0
2004-03-15,3177.7048131602837,2457.7048131602837,720.0,2350.0,0.0
2004-03-16,3190.744495578104,2470.744495578104,720.0,2350.0,0.0
2004-03-17,3409.6171098441278,2839.6171098441278,570.0,2680.0,330.0
2004-03-18,3383.64555547398,2813.64555547398,570.0,2680.0,0.0
2004-03-19,3354.814834980569,2784.814834980569,570.0,2680.0,0.0
2004-03-22,3322.1430159586926,2752.1430159586926,570.0,2680.0,0.0
2004-03-23,3314.488633780208,2744.488633780208,570.0,2680.0,0.0
2004-03-24,3329.737044321917,2759.737044321917,570.0,2680.0,0.0
2004-03-25,3349.132372032338,2779.132372032338,570.0,2680.0,0.0
