rank,cadence,rainy_amount,rsi_threshold,contributions_cad,end_equity_cad,cagr,max_drawdown,hit_rate,rainy_total,rainy_hits,rainy_misses,years
1,weekly,150.0,40,104500.0,609053.7427813221,0.33617263906624495,-0.2747818291048435,0.6848484848484848,165,113,52,22.12457221081451
2,biweekly,150.0,45,104350.0,608990.2137955574,0.3361663392827383,-0.27465158977652193,0.8,140,112,28,22.12457221081451
3,weekly,100.0,45,104450.0,608760.5542697442,0.3361435601075269,-0.27487759146032587,0.6525096525096525,259,169,90,22.12457221081451
