year,equity_start_prod,equity_end_prod,contrib_year_prod,profit_year_prod,roi_pct_prod,equity_start_turbo,equity_end_turbo,contrib_year_turbo,profit_year_turbo,roi_pct_turbo,diff_profit,winner
2003,1330.0,2298.354832408234,750.0,218.35483240823396,16.41765657204767,1450.0,2418.354832408234,750.0,218.35483240823396,15.058953959188548,0.0,TIE
2004,2290.9528018166766,6289.771474413056,4050.0,-51.181327403620344,-2.234062934995197,2410.9528018166766,6410.0478119780055,4200.0,-200.9049898386711,-8.333012147201192,-149.72366243505076,PROD
2005,6474.703557604683,10157.341070435636,3450.0,232.6375128309528,3.5930218389336894,6595.105522984508,10280.510813652283,3480.0,205.40529066777526,3.11451105599327,-27.23222216317754,PROD
2006,10457.261079016645,16309.758517468661,3450.0,2402.4974384520156,22.97444254569511,10582.721938927374,16468.58804411983,3480.0,2405.8661051924573,22.733906447477796,3.3686667404417676,TURBO
2007,16565.829062988636,18510.504137844157,4050.0,-2105.3249251444795,-12.7088412969816,16725.903911913323,18640.09726681723,4290.0,-2375.806645096094,-14.204354261558825,-270.48171995161465,PROD
2008,18299.981018410566,17996.8465689347,4800.0,-5103.134449475867,-27.88600952286177,18424.08932799154,18027.28381920802,4470.0,-4866.80550878352,-26.41544676723549,236.3289406923468,TURBO
2009,18435.03098937404,24059.174226604246,3600.0,2024.1432372302042,10.97987434030852,18466.21807064293,24046.550738042515,3510.0,2070.3326673995834,11.211460080669898,46.18943016937919,TURBO
2010,24383.27993270513,30526.75584979805,3750.0,2393.475917092921,9.816053966892976,24370.02685069158,30502.458337130935,3750.0,2382.4314864393527,9.776072472286764,-11.04443065356827,PROD
2011,30807.328210854528,35668.38353510637,3750.0,1111.05532425184,3.606464399143757,30782.646202599677,35651.206758914865,3780.0,1088.5605563151876,3.5362799843479857,-22.49476793665235,PROD
2012,36307.15558755738,44566.85729377656,3900.0,4359.7017062191735,12.007830510725169,36288.97175289348,44547.988312215915,4050.0,4209.016559322437,11.598610696338714,-150.68514689673611,PROD
2013,45671.06845153988,67674.02987616316,3600.0,18402.961424623274,40.29457170276204,45653.985898872685,67689.1313391677,3630.0,18405.14544029501,40.31443274430389,2.184015671737143,TURBO
2014,67033.26308372799,88127.83035976544,4050.0,17044.56727603746,25.427029047874218,67047.06343012702,88187.16038662402,4140.0,17000.096956497,25.35546836322462,-44.47031954045815,PROD
2015,88150.18523328514,110461.66777740017,3450.0,18861.48254411503,21.396985717272223,88209.58454655351,110586.39590260945,3540.0,18836.811356055943,21.354608405523805,-24.67118805908831,PROD
2016,109061.20583670851,124239.2824504889,3600.0,11578.076613780388,10.616127453345436,109179.7699916983,124415.09783590343,3720.0,11515.327844205138,10.547125941995233,-62.74876957524975,PROD
2017,125021.03529766164,145140.2518415215,3300.0,16819.21654385986,13.453109313816764,125199.7739256537,145396.29204017506,3300.0,16896.518114521357,13.495645866385406,77.30157066149695,TURBO
2018,146042.5292577349,153926.84848653458,4050.0,3834.3192287996935,2.625481254185151,146302.83919409252,154202.9430248344,4200.0,3700.103830741893,2.5290717877546816,-134.21539805780048,PROD
2019,154122.62233489106,197706.01561612205,4050.0,39533.393281230994,25.650610327229828,154399.80852090527,198211.31042950798,4020.0,39791.50190860272,25.771730088133545,258.10862737172283,TURBO
2020,198210.63254705278,232592.15867334188,3900.0,30481.5261262891,15.37835066393482,198718.6264558431,233305.77299522492,3930.0,30657.14653938182,15.427414674785956,175.62041309272172,TURBO
2021,229128.08592964045,303075.33993250836,3300.0,70647.2540028679,30.833083476532824,229821.38520218476,304160.578722876,3330.0,71009.19352069122,30.897557012904205,361.93951782330987,TURBO
2022,302965.3622253141,267807.1290984281,4200.0,-39358.233126885956,-12.991000963871047,304048.9732993783,268688.5390262381,4860.0,-40220.434273140214,-13.228274983694035,-862.2011462542578,PROD
2023,267005.86847952317,333778.28874102543,3900.0,62872.420261502266,23.547205392724912,267879.36478570726,335171.1380529051,3870.0,63421.77326719783,23.67549785625806,549.3530056955642,TURBO
2024,332230.94400744105,456114.6764319056,3600.0,120283.73242446454,36.20485526530921,333611.4194916649,458458.9587472171,3660.0,121187.53925555217,36.32595653956023,903.806831087626,TURBO
2025,455782.24030307634,526786.16528885,3900.0,67103.92498577363,14.722803797961125,458123.8367381428,529709.509156285,4080.0,67505.67241814215,14.735245583112377,401.74743236851646,TURBO
