date,rsi_sma,price,amount,cash_before,cash_after
2004-03-17,37.04866188062152,101.05950243418832,150.0,600.0,450.0
2004-05-03,42.21397062082192,103.11722841199536,150.0,540.0,390.0
2004-05-17,33.6048139355209,102.01582274558156,150.0,420.0,270.0
2004-07-19,31.79251280277391,96.89093089016234,150.0,360.0,210.0
2004-08-03,40.657038433951065,97.61295671881045,150.0,240.0,90.0
2005-04-04,28.006500935685217,98.21364379576063,150.0,540.0,390.0
2005-05-03,41.31444551476164,99.83050674981286,150.0,450.0,300.0
2005-10-03,42.77856945881816,98.46861257904698,150.0,540.0,390.0
2005-10-17,28.673227180321334,96.76482712512113,150.0,420.0,270.0
2006-02-03,44.761679444066324,99.98680968243424,150.0,480.0,330.0
2006-04-17,43.23075585431712,102.54389185891009,150.0,480.0,330.0
2006-06-05,37.8018595938214,97.67589262189107,150.0,420.0,270.0
2006-06-19,42.44855457320487,96.74017327008724,150.0,300.0,150.0
2007-03-05,36.787369089968415,114.31660842277454,150.0,600.0,450.0
2007-03-19,35.96320314771837,116.79421971877532,150.0,480.0,330.0
2007-08-03,31.39459766956088,107.56999497504422,150.0,600.0,450.0
2007-08-17,39.01566728209372,109.16643281373862,150.0,480.0,330.0
2007-11-05,41.311615435237776,100.00042304416307,150.0,450.0,300.0
2007-11-19,36.04465305273757,101.03586164983784,150.0,330.0,180.0
2007-12-03,43.22029596058457,105.46833898911052,150.0,210.0,60.0
2008-01-17,27.92841787296186,98.67192363194107,150.0,150.0,0.0
2008-06-17,37.430420372913545,99.53756466960216,150.0,270.0,120.0
2008-07-03,24.575415313367877,93.2392020223925,150.0,150.0,0.0
2008-09-17,39.35243315834815,90.48561473207329,150.0,150.0,0.0
2008-12-03,43.866343444689974,79.8774591411512,150.0,150.0,0.0
2009-03-03,25.105706224557178,66.65364006443404,150.0,150.0,0.0
2009-11-03,44.67150281234893,83.52680794977452,150.0,450.0,300.0
2010-02-03,33.41297899466688,87.75300737668402,150.0,450.0,300.0
2010-02-17,40.540779664750744,86.80226662734763,150.0,330.0,180.0
2010-05-17,38.623851497162654,88.93152996088673,150.0,360.0,210.0
2010-06-03,36.603257365621225,87.02188427736694,150.0,240.0,90.0
2010-09-03,38.09678018693707,88.60681589084697,150.0,240.0,90.0
2010-12-03,44.10404459890777,94.1045406318394,150.0,270.0,120.0
2011-03-17,40.43839901807015,97.34838498257984,150.0,300.0,150.0
2011-06-03,41.55769417680073,97.98792984413683,150.0,300.0,150.0
2011-06-17,32.39957349578941,96.55889979787293,150.0,180.0,30.0
2011-10-03,44.78122412887014,89.85001585274831,150.0,180.0,30.0
2011-12-05,43.176507966519544,99.93198363955366,150.0,150.0,0.0
2012-04-17,39.201766123705205,109.3935452040102,150.0,270.0,120.0
2012-05-17,30.257758919113833,104.16360855015127,150.0,180.0,30.0
2012-11-05,37.75473791352751,112.2866455542288,150.0,330.0,180.0
2012-11-19,29.958409198187677,110.64682253961098,150.0,210.0,60.0
2013-06-17,42.313097611621636,134.4364836050869,150.0,450.0,300.0
2013-08-19,44.136837552571805,137.6452138861115,150.0,420.0,270.0
2013-09-03,31.077687066620797,140.24393396104492,150.0,300.0,150.0
2014-02-03,34.78718676375927,158.2463467823012,150.0,450.0,300.0
2014-08-18,39.51370161987298,177.2282953585846,150.0,660.0,510.0
2014-10-03,41.37595469837579,181.5912883115591,150.0,600.0,450.0
2014-10-17,30.48548076869333,175.79187400837426,150.0,480.0,330.0
2014-12-17,36.63867038665508,194.41681365077463,150.0,450.0,300.0
2015-03-17,36.49221735184383,221.2329441860111,150.0,450.0,300.0
2015-06-17,40.7555273003209,216.6131260445129,150.0,450.0,300.0
2015-09-03,35.137198725363014,218.06051124901376,150.0,420.0,270.0
2015-10-05,43.84643502944912,220.8235813480081,150.0,330.0,180.0
2015-12-17,40.43082862219785,238.71799644573224,150.0,330.0,180.0
2016-05-17,39.73358982355579,225.76869309376042,150.0,450.0,300.0
2016-09-19,37.64748763788991,243.14300890926347,150.0,480.0,330.0
2016-11-03,36.295123045936585,241.38769283116073,150.0,420.0,270.0
2017-04-03,44.84829371990554,273.478989161738,150.0,570.0,420.0
2017-08-17,41.24901424940901,268.9350850037737,150.0,690.0,540.0
2018-04-03,32.16930220379786,299.44699820716414,150.0,930.0,780.0
2018-07-03,31.352656881697886,318.9188851323628,150.0,960.0,810.0
2018-10-17,24.387215001407274,325.3235543089674,150.0,990.0,840.0
2018-11-05,39.76962461348024,321.1815438434839,150.0,870.0,720.0
2018-12-03,44.4203061147901,332.0044273780348,150.0,780.0,630.0
2018-12-17,43.857221008910145,306.57652374879365,150.0,660.0,510.0
2019-01-03,28.67167838328786,300.26164968293267,150.0,540.0,390.0
2019-05-17,36.99308378788199,348.6129933221254,150.0,630.0,480.0
2019-06-03,34.362634132537565,336.31569344830365,150.0,510.0,360.0
2019-08-19,37.17635310819556,353.0701746436657,150.0,510.0,360.0
2019-10-03,40.38218377574865,354.01405058158525,150.0,450.0,300.0
2020-03-03,26.068244053548504,367.69540788362065,150.0,570.0,420.0
2020-03-17,29.681507399857527,325.5239692420469,150.0,450.0,300.0
2020-11-03,35.05509868468071,414.1554320526916,150.0,720.0,570.0
2021-10-04,36.908648423234,511.60700985929367,150.0,1170.0,1020.0
2021-12-03,40.46489691108335,549.4436989556195,150.0,1140.0,990.0
2022-02-03,30.559620620217935,537.5175585319687,150.0,1080.0,930.0
2022-03-03,37.9934334199367,522.7447472097643,150.0,990.0,840.0
2022-04-18,43.923641134007276,525.7923051971146,150.0,930.0,780.0
2022-05-03,30.99501406135631,510.13604367573345,150.0,810.0,660.0
2022-05-17,34.89659464046954,499.32846862027236,150.0,690.0,540.0
2022-06-17,39.56894002609037,452.9671929577081,150.0,600.0,450.0
2022-09-19,38.2071843899746,494.38627480684505,150.0,570.0,420.0
2022-10-03,27.47963440739913,485.08568963679556,150.0,450.0,300.0
2022-10-17,41.52551825626673,487.74681608325346,150.0,330.0,180.0
2023-01-03,37.092308547194115,497.8197381660308,150.0,330.0,180.0
2023-03-03,34.03809110976452,529.7647623468843,150.0,300.0,150.0
2023-03-17,38.22273176077597,517.7952394510992,150.0,180.0,30.0
2023-08-17,34.23754358412578,573.6858003321939,150.0,300.0,150.0
2023-10-03,26.078810826051342,562.0531365945335,150.0,210.0,60.0
2024-04-17,38.21505476342308,679.1110780180948,150.0,420.0,270.0
2024-05-03,40.97326733459699,686.0220896447836,150.0,300.0,150.0
2024-08-05,36.34877008051683,707.4860961023807,150.0,330.0,180.0
2025-01-03,40.834170972365186,845.1797797778205,150.0,480.0,330.0
2025-01-17,44.95689503063346,852.7917335521721,150.0,360.0,210.0
2025-03-03,40.39974321131825,835.699547744377,150.0,270.0,120.0
2025-03-17,26.66184503785602,807.8704323646045,150.0,150.0,0.0
