rank,cadence,rainy_amount,rsi_threshold,contributions_cad,end_equity_cad,cagr,max_drawdown,hit_rate,rainy_total,rainy_hits,rainy_misses,years
1,weekly,150.0,40,104500.0,600967.3279966564,0.3354134687639323,-0.2747819889861097,0.6848484848484848,165,113,52,22.12183436002738
2,biweekly,150.0,45,104350.0,600906.6397578131,0.33540737242327867,-0.27465174969477,0.8,140,112,28,22.12183436002738
3,weekly,100.0,45,104450.0,600678.7024295293,0.33538447008939687,-0.27487775147364757,0.6525096525096525,259,169,90,22.12183436002738
