rank,cadence,rainy_amount,rsi_threshold,contributions_cad,end_equity_cad,cagr,max_drawdown,hit_rate,rainy_total,rainy_hits,rainy_misses,years
1,weekly,150.0,40,104500.0,609053.7356011247,0.33617263835426403,-0.27478181117741585,0.6848484848484848,165,113,52,22.12457221081451
2,biweekly,150.0,45,104350.0,608990.2045232065,0.33616633836320986,-0.2746515717400121,0.8,140,112,28,22.12457221081451
3,weekly,100.0,45,104450.0,608760.5468199532,0.3361435593684734,-0.2748775735225425,0.6525096525096525,259,169,90,22.12457221081451
