date,rsi_sma,price,amount,cash_before,cash_after
2004-03-17,40.17367153208695,101.05952286875818,150.0,600.0,450.0
2004-05-17,38.657584625008454,102.01582274558156,150.0,570.0,420.0
2004-07-19,40.58683253766713,96.89092091701814,150.0,510.0,360.0
2004-08-03,43.86147112426806,97.61298686941272,150.0,390.0,240.0
2004-08-17,38.9905999678814,95.67807758675944,150.0,270.0,120.0
2005-04-04,40.98994810110434,98.21362514341722,150.0,540.0,390.0
2005-04-18,41.23808617826989,97.47721632841002,150.0,420.0,270.0
2005-10-17,34.03355257503291,96.76480912585362,150.0,570.0,420.0
2006-06-19,38.86009939718065,96.74014762616775,150.0,900.0,750.0
2007-03-05,39.249704259519966,114.31662643272307,150.0,1200.0,1050.0
2007-03-19,42.49625658899429,116.79412994368788,150.0,1080.0,930.0
2007-08-03,35.82463112043844,107.56997089438757,150.0,1200.0,1050.0
2007-08-17,39.728466789432424,109.16643281373862,150.0,1080.0,930.0
2007-11-19,38.49208831283376,101.03583913244228,150.0,1080.0,930.0
2007-12-03,44.72738179486373,105.46831610779246,150.0,960.0,810.0
2008-01-17,35.688728875462395,98.67196291188085,150.0,900.0,750.0
2008-02-04,43.42272775460386,98.37491601099656,150.0,780.0,630.0
2008-03-17,38.86737617151083,91.64413256958139,150.0,690.0,540.0
2008-06-17,41.44346034089968,99.53756466960216,150.0,720.0,570.0
2008-07-03,29.645911628814712,93.23922531569553,150.0,600.0,450.0
2008-07-17,31.400010837878394,91.26653327140994,150.0,480.0,330.0
2008-09-17,41.07331462048832,90.48563921785279,150.0,450.0,300.0
2008-10-03,40.442687042645346,86.78397955202847,150.0,330.0,180.0
2008-10-17,32.06385299388966,80.35582312016896,150.0,210.0,60.0
2009-03-03,32.081277686899234,66.65364993229338,150.0,300.0,150.0
2009-03-17,44.35553928109302,72.9595250531355,150.0,180.0,30.0
2010-02-03,40.50870002977528,87.752999275793,150.0,600.0,450.0
2010-02-17,43.936560126157154,86.80223469985695,150.0,480.0,330.0
2010-05-17,43.0199145670636,88.93147479807548,150.0,510.0,360.0
2010-06-03,39.5116679023753,87.02186046678902,150.0,390.0,240.0
2011-03-17,43.65166169184973,97.34839255399066,150.0,750.0,600.0
2011-06-17,36.46151940027978,96.55889231038492,150.0,780.0,630.0
2011-08-03,41.58678790408786,93.94570256797495,150.0,690.0,540.0
2011-08-17,37.4305343433845,91.07976517140287,150.0,570.0,420.0
2011-10-03,43.22447282827342,89.85002386361204,150.0,480.0,330.0
2012-05-17,34.14799179007348,104.1636317061275,150.0,780.0,630.0
2012-06-04,36.38650633277339,105.1908689470245,150.0,660.0,510.0
2012-11-05,41.275296035451014,112.28668353335475,150.0,780.0,630.0
2012-11-19,33.293709454852504,110.64687595818828,150.0,660.0,510.0
2013-09-03,41.06189419345655,140.24386956102012,150.0,1050.0,900.0
2014-02-03,37.63847347425285,158.2463128397364,150.0,1200.0,1050.0
2014-10-03,43.264607031440356,181.5912883115591,150.0,1500.0,1350.0
2014-10-17,33.36249029781672,175.79195992298293,150.0,1380.0,1230.0
2014-12-17,43.401257703878194,194.41683139979898,150.0,1350.0,1200.0
2015-09-03,39.356441930454494,218.06045052665968,150.0,1620.0,1470.0
2015-10-05,43.25048807689484,220.8235813480081,150.0,1530.0,1380.0
2016-02-03,44.323428076123186,228.6341673129362,150.0,1590.0,1440.0
2016-02-17,41.62541441279712,227.3286578861746,150.0,1470.0,1320.0
2016-09-19,41.258832180399246,243.14298876964557,150.0,1680.0,1530.0
2016-11-03,39.15500682055602,241.3876315182942,150.0,1620.0,1470.0
2018-04-03,38.61451171196817,299.4470179230444,150.0,2430.0,2280.0
2018-07-03,43.74747529166371,318.9189454994892,150.0,2460.0,2310.0
2018-10-17,32.25091809069298,325.3236135234457,150.0,2490.0,2340.0
2018-11-05,38.90522698661453,321.18160381373303,150.0,2370.0,2220.0
2018-12-17,39.298199402328,306.57658503373784,150.0,2310.0,2160.0
2019-01-03,36.71937587806652,300.2616288833732,150.0,2190.0,2040.0
2019-05-17,43.67855883867134,348.613116570411,150.0,2280.0,2130.0
2019-06-03,37.30389383991824,336.31581722943025,150.0,2160.0,2010.0
2019-08-19,43.83604479079149,353.0702151310292,150.0,2160.0,2010.0
2020-03-03,29.05947125909024,367.69540788362065,150.0,2370.0,2220.0
2020-03-17,32.06931287538344,325.5239906205262,150.0,2250.0,2100.0
2020-04-03,44.38779681643575,324.19062595270697,150.0,2130.0,1980.0
2020-11-03,42.42352784462692,414.1554320526916,150.0,2370.0,2220.0
2021-10-04,41.94346713023388,511.60712544462916,150.0,2820.0,2670.0
2022-02-03,40.18746699641209,537.5176359636096,150.0,2880.0,2730.0
2022-03-03,42.20742273913244,522.7447086169285,150.0,2790.0,2640.0
2022-05-03,37.345549476564756,510.1360829640652,150.0,2760.0,2610.0
2022-05-17,36.2633813981341,499.328586265529,150.0,2640.0,2490.0
2022-06-17,35.1909303362286,452.9671534258487,150.0,2550.0,2400.0
2022-09-19,44.105973266792475,494.386315267659,150.0,2520.0,2370.0
2022-10-03,31.13595052471175,485.0858158633026,150.0,2400.0,2250.0
2022-10-17,38.928489434983554,487.74690064746125,150.0,2280.0,2130.0
2023-01-03,43.527884408974536,497.81969678724437,150.0,2280.0,2130.0
2023-03-03,44.88419970883472,529.7647623468843,150.0,2250.0,2100.0
2023-03-17,40.881185633852866,517.7953231858386,150.0,2130.0,1980.0
2023-08-17,43.96770010496399,573.6858829530435,150.0,2250.0,2100.0
2023-10-03,33.11669679114883,562.0531783312879,150.0,2160.0,2010.0
2023-11-03,42.370354215663575,582.5135733175465,150.0,2070.0,1920.0
2024-08-05,43.743090782663536,707.4860961023807,150.0,2430.0,2280.0
2025-03-03,41.519363856420696,835.699547744377,150.0,2670.0,2520.0
2025-03-17,33.3492426906446,807.8703446619625,150.0,2550.0,2400.0
2025-04-03,41.331918101420285,758.6473407682658,150.0,2430.0,2280.0
2025-04-17,44.28463424058505,725.426741517063,150.0,2310.0,2160.0
