date,equity
2003-10-07,1000.0
2003-10-08,998.3306784259051
2003-10-09,1005.526494507506
2003-10-10,996.4942127400893
2003-10-13,1178.7317802906487
2003-10-14,1184.353321652684
2003-10-15,1185.112074554694
2003-10-16,1181.7833636139949
2003-10-17,1164.8972356290474
2003-10-20,1178.262689783916
2003-10-21,1174.9047021089527
2003-10-22,1148.3940169370276
2003-10-23,1148.2251590635403
2003-10-24,1150.9712965757642
2003-10-27,1335.8065717323675
2003-10-28,1352.1792432032246
2003-10-29,1355.876771777595
2003-10-30,1361.4576454947405
2003-10-31,1362.2999684356644
2003-11-03,1387.655362471294
2003-11-04,1381.7935973294377
2003-11-05,1385.9754319615085
2003-11-06,1400.0858783567894
2003-11-07,1370.596936476878
2003-11-10,1536.3706470728148
2003-11-11,1536.8398082308822
2003-11-12,1542.380558253912
2003-11-13,1536.3267993840414
2003-11-14,1529.2808175191062
2003-11-17,1534.8017966413884
2003-11-18,1504.3433824539595
2003-11-19,1519.8406693840532
2003-11-20,1507.115102981914
2003-11-21,1512.1125327098198
2003-11-24,1727.429193284077
2003-11-25,1725.4351415841866
2003-11-26,1722.7091042942839
2003-11-28,1719.7320473237241
2003-12-01,1741.739632963046
2003-12-02,1728.2435239806696
2003-12-03,1730.0304177169048
2003-12-04,1750.692731202345
2003-12-05,1728.830462200425
2003-12-08,1912.2130894864981
2003-12-09,1911.8287138175222
2003-12-10,1915.168466807862
2003-12-11,1944.5584830517244
2003-12-12,1944.2253543920563
2003-12-15,1935.2662138474464
2003-12-16,1962.0462414488711
2003-12-17,1968.152462356828
2003-12-18,1996.0810125555836
2003-12-19,1999.09531782047
2003-12-22,2181.422727541988
2003-12-23,2169.0010199576213
2003-12-24,2145.650417767017
2003-12-26,2151.149435596004
2003-12-29,2176.3157015199085
2003-12-30,2154.100524413248
2003-12-31,2160.455429361132
2004-01-02,2152.3941389740276
2004-01-05,2336.4182273181173
2004-01-06,2347.4697699127173
2004-01-07,2359.520778747035
2004-01-08,2350.0107172449675
2004-01-09,2323.030737008735
2004-01-12,2342.6454728423
2004-01-13,2321.7403151646326
2004-01-14,2370.370391976479
2004-01-15,2386.2802720899167
2004-01-16,2399.2714253262616
2004-01-20,2567.064915797405
2004-01-21,2600.4772425300303
2004-01-22,2584.9064748965543
2004-01-23,2608.2233910434866
2004-01-26,2639.486606092115
2004-01-27,2603.624702472668
2004-01-28,2612.4005050575342
2004-01-29,2621.327172293188
2004-01-30,2610.0470209111018
2004-02-02,2822.938734904148
2004-02-03,2817.156103752358
2004-02-04,2792.553035667233
2004-02-05,2807.8991430733226
2004-02-06,2803.9526468299223
2004-02-09,2818.434431145353
2004-02-10,2832.2535401426267
2004-02-11,2827.563452067613
2004-02-12,2826.837983384791
2004-02-13,2819.9734770950067
2004-02-17,3001.392643032962
2004-02-18,3015.6048615543345
2004-02-19,3015.9363847727695
2004-02-20,3023.99992807521
2004-02-23,3015.293173213993
2004-02-24,2997.358070246368
2004-02-25,3022.947519091141
2004-02-26,3040.7219131623883
2004-02-27,3024.6663341409494
2004-03-01,3236.4128042771567
2004-03-02,3233.661476515209
2004-03-03,3231.796589283277
2004-03-04,3224.5618306846814
2004-03-05,3208.5931177135894
2004-03-08,3164.8662072214047
2004-03-09,3168.521709439246
2004-03-10,3120.29136990613
2004-03-11,3069.1320979291127
2004-03-12,3139.6744126265235
2004-03-15,3284.4011721177685
2004-03-16,3300.712502108692
2004-03-17,3349.33853637751
2004-03-18,3320.626629286194
2004-03-19,3288.7537698503024
2004-03-22,3252.6324880406946
2004-03-23,3244.170815581748
2004-03-24,3261.027434172419
2004-03-25,3282.4705743840564
2004-03-26,3256.0350034940857
2004-03-29,3457.041911906853
2004-03-30,3460.147139323525
2004-03-31,3473.8430504447088
2004-04-01,3488.210435074294
2004-04-02,3531.70425052034
2004-04-05,3550.884089606935
2004-04-06,3531.6363728187894
2004-04-07,3522.7632047811826
2004-04-08,3554.953906829018
2004-04-12,3751.996715831419
2004-04-13,3721.5734454975313
2004-04-14,3751.888048441954
