rank,cadence,rainy_amount,rsi_threshold,contributions_cad,end_equity_cad,cagr,max_drawdown,hit_rate,rainy_total,rainy_hits,rainy_misses,years
1,weekly,150.0,40,104500.0,600967.3173057826,0.3354134676900493,-0.27478195392839266,0.6848484848484848,165,113,52,22.12183436002738
2,biweekly,150.0,45,104350.0,600906.6252769069,0.3354073709685521,-0.27465171457462134,0.8,140,112,28,22.12183436002738
3,weekly,100.0,45,104450.0,600678.6914780237,0.335384468988829,-0.27487771632938707,0.6525096525096525,259,169,90,22.12183436002738
