date,equity
2003-10-07,1000.0
2003-10-08,998.3300176279879
2003-10-09,1005.5261623019961
2003-10-10,996.494102667202
2003-10-13,1178.7311230114954
2003-10-14,1184.3529147599866
2003-10-15,1185.1114140585382
2003-10-16,1181.7829579609863
2003-10-17,1164.8973331572984
2003-10-20,1178.2622844896703
2003-10-21,1174.904172199338
2003-10-22,1148.3932465553132
2003-10-23,1148.2255058050403
2003-10-24,1150.9716430625601
2003-10-27,1335.8061710152901
2003-10-28,1352.178841187598
2003-10-29,1355.876793402387
2003-10-30,1361.4576669161236
2003-10-31,1362.2994219639368
2003-11-03,1387.655239685875
2003-11-04,1381.7949101796676
2003-11-05,1385.975740894737
2003-11-06,1400.0857544217602
2003-11-07,1370.5968152690718
2003-11-10,1536.3706687058482
2003-11-11,1536.839513922073
2003-11-12,1542.3802645781075
2003-11-13,1536.325882400048
2003-11-14,1529.2813087577395
2003-11-17,1534.8019767319997
2003-11-18,1504.3429364101546
2003-11-19,1519.8402211101911
2003-11-20,1507.1143422952941
2003-11-21,1512.1127121227069
2003-11-24,1727.4293729550063
2003-11-25,1725.4349718615422
2003-11-26,1722.7091078706142
2003-11-28,1719.7317056443794
2003-12-01,1741.7391153889932
2003-12-02,1728.2428377950196
2003-12-03,1730.0302475084593
2003-12-04,1750.6922107709338
2003-12-05,1728.8299463361282
2003-12-08,1912.2122306665967
2003-12-09,1911.827849335153
2003-12-10,1915.1685501425002
2003-12-11,1944.5585656272892
2003-12-12,1944.2250555523822
2003-12-15,1935.2657250340644
2003-12-16,1962.0451701920686
2003-12-17,1968.152737416514
2003-12-18,1996.0807079018493
2003-12-19,1999.0957883437084
2003-12-22,2181.4233875689924
2003-12-23,2169.001261044813
2003-12-24,2145.6510662963283
2003-12-26,2151.148647861453
2003-12-29,2176.3151171671057
2003-12-30,2154.099946636362
2003-12-31,2160.4550534841146
2004-01-02,2152.393156564496
2004-01-05,2336.4176534160056
2004-01-06,2347.4691934525963
2004-01-07,2359.519547910592
2004-01-08,2350.010574700626
2004-01-09,2323.030596261507
2004-01-12,2342.6453307885513
2004-01-13,2321.739960092466
2004-01-14,2370.3698130125385
2004-01-15,2386.2805643187025
2004-01-16,2399.271936600059
2004-01-20,2567.065206523146
2004-01-21,2600.477533735905
2004-01-22,2584.906531958981
2004-01-23,2608.222266821805
2004-01-26,2639.4871356108565
2004-01-27,2603.6242891388215
2004-01-28,2612.400087457249
2004-01-29,2621.3267533542853
2004-01-30,2610.0466039566777
2004-02-02,2822.9378312865574
2004-02-03,2817.156480135733
2004-02-04,2792.5534125912955
2004-02-05,2807.8987519865796
2004-02-06,2803.9532713130748
2004-02-09,2818.434041357234
2004-02-10,2832.252129202621
2004-02-11,2827.562560733279
2004-02-12,2826.8383528935824
2004-02-13,2819.972582255768
2004-02-17,3001.3935114976275
2004-02-18,3015.603860970895
2004-02-19,3015.9375359990067
2004-02-20,3023.999460895336
2004-02-23,3015.291894421915
2004-02-24,2997.357336997455
2004-02-25,3022.9475938855435
2004-02-26,3040.723078323406
2004-02-27,3024.6647842722973
2004-03-01,3236.4120633673265
2004-03-02,3233.6610203043538
2004-03-03,3231.7961338866503
2004-03-04,3224.561377163099
2004-03-05,3208.594081035731
2004-03-08,3164.865478727589
2004-03-09,3168.6499256212587
2004-03-10,3118.718848347075
2004-03-11,3065.755225614426
2004-03-12,3138.7856275546537
2004-03-15,3282.2669433300844
2004-03-16,3298.8344796805986
2004-03-17,3348.216314608049
2004-03-18,3319.0570596631633
2004-03-19,3286.686668876671
2004-03-22,3250.0045976348356
2004-03-23,3241.1324154118074
2004-03-24,3258.806158762989
2004-03-25,3281.288247887675
2004-03-26,3253.5722480847685
2004-03-29,3455.5966436180165
2004-03-30,3458.7001985458846
2004-03-31,3472.391251619025
2004-04-01,3486.7521280076203
2004-04-02,3530.2276177072217
2004-04-05,3549.3971733782028
2004-04-06,3530.158403660674
2004-04-07,3521.2900672019096
2004-04-08,3553.4679903428346
2004-04-12,3750.502449588465
2004-04-13,3720.091338833093
2004-04-14,3750.3941960754414
2004-04-15,3735.2823165496748
2004-04-16,3767.7342549070977
2004-04-19,3768.0054204184607
2004-04-20,3734.788555245795
2004-04-21,3768.136026042706
2004-04-22,3805.1429704930074
2004-04-23,3822.5851945547265
2004-04-26,3976.185652918
2004-04-27,3980.495209733776
2004-04-28,3995.3288131555505
2004-04-29,3952.1735935422357
2004-04-30,3919.5572143812337
2004-05-03,3965.9078264156433
2004-05-04,3959.344137018701
2004-05-05,3988.4790005971604
2004-05-06,3966.2666405521422
2004-05-07,3920.4914616291294
2004-05-10,4082.588987487051
2004-05-11,4102.211020131124
2004-05-12,4129.325561180056
2004-05-13,4131.066194542491
2004-05-14,4115.745680924425
2004-05-17,4104.920084377667
2004-05-18,4110.719171678319
2004-05-19,4054.5844555767444
2004-05-20,4044.7148837910368
2004-05-21,4059.4236338205033
2004-05-24,4254.636983428415
2004-05-25,4316.082573475899
2004-05-26,4329.521437527179
2004-05-27,4311.290192327234
2004-05-28,4328.0247922550425
2004-06-01,4335.898026500555
2004-06-02,4332.953522275361
2004-06-03,4297.619883743152
2004-06-04,4297.711919960903
2004-06-07,4523.3369275674395
2004-06-08,4539.606248004814
2004-06-09,4536.043381175991
2004-06-10,4555.845250904624
2004-06-14,4572.407665104551
2004-06-15,4576.6049276872955
2004-06-16,4591.709313301085
2004-06-17,4583.9281427440865
2004-06-18,4560.0270708493035
2004-06-21,4723.252052309005
2004-06-22,4725.77161972175
2004-06-23,4772.790219498984
2004-06-24,4710.810161530988
2004-06-25,4777.00597186644
2004-06-28,4677.461685697403
2004-06-29,4690.370184541092
2004-06-30,4671.623482560511
2004-07-01,4601.955291078277
2004-07-02,4569.27435860941
2004-07-06,4722.963123076055
2004-07-07,4717.375030881572
2004-07-08,4673.8281428057
2004-07-09,4684.337218150996
2004-07-12,4690.218585496345
2004-07-13,4690.371276410386
2004-07-14,4694.570660685091
2004-07-15,4665.670865547405
2004-07-16,4618.546543164012
2004-07-19,4765.958891016592
2004-07-20,4843.347585879837
2004-07-21,4793.063812133714
2004-07-22,4785.520290778436
2004-07-23,4768.259329280447
2004-07-26,4788.081329136512
2004-07-27,4837.396648999704
2004-07-28,4839.548480987891
2004-07-29,4845.5437478136355
2004-07-30,4879.889113160716
2004-08-02,5069.223402227731
2004-08-03,4978.534349000556
2004-08-04,4971.742348658197
2004-08-05,4900.694633563072
2004-08-06,4830.394185844559
2004-08-09,4834.552152870055
2004-08-10,4905.310868022181
2004-08-11,4914.161271053947
2004-08-12,4885.85000289774
2004-08-13,4844.120906279414
2004-08-16,5033.670421877298
2004-08-17,5061.895299948256
2004-08-18,5105.335103506609
2004-08-19,5059.700518064773
2004-08-20,5100.3706594633395
2004-08-23,5122.709509991019
2004-08-24,5123.392448853462
2004-08-25,5153.3332320499585
2004-08-26,5164.201998136949
2004-08-27,5205.107862110904
2004-08-30,5357.169670160593
2004-08-31,5365.070204806331
2004-09-01,5350.957081893656
2004-09-02,5385.061984825912
2004-09-03,5363.950830713891
2004-09-07,5347.409941552789
2004-09-08,5346.997276198097
2004-09-09,5327.381815923304
2004-09-10,5369.281568213193
2004-09-13,5608.891414077528
2004-09-14,5586.329229373741
2004-09-15,5558.131778001786
2004-09-16,5548.068511232707
2004-09-17,5599.592684313016
2004-09-20,5555.146696620772
2004-09-21,5549.749973203054
2004-09-22,5465.776435831809
2004-09-23,5423.585625854028
2004-09-24,5424.230124120872
2004-09-27,5559.93954517367
2004-09-28,5584.431430318973
2004-09-29,5606.039918430751
2004-09-30,5566.422155747477
2004-10-01,5656.110413242117
2004-10-04,5716.3773410745935
2004-10-05,5669.261622738759
2004-10-06,5701.735847774677
2004-10-07,5639.232328385619
2004-10-08,5556.831008730222
2004-10-11,5773.729165696187
2004-10-12,5757.522395501488
2004-10-13,5719.427232471924
2004-10-14,5663.994441563394
2004-10-15,5678.215439076552
2004-10-18,5723.344479211435
2004-10-19,5672.554691993505
2004-10-20,5609.81460551272
2004-10-21,5639.863917554281
2004-10-22,5536.395005302637
2004-10-25,5653.332617600561
2004-10-26,5755.037426256473
2004-10-27,5828.418787429543
2004-10-29,5804.572947562733
2004-11-01,5846.005119962257
2004-11-02,5863.725747414587
2004-11-03,5845.669968496365
2004-11-04,5923.967843865042
2004-11-05,5912.245851962106
2004-11-08,6070.509863760113
2004-11-09,6085.301466040201
2004-11-10,6072.367998499
2004-11-11,6117.533069093447
2004-11-12,6150.9797741406455
2004-11-15,6210.886885005345
2004-11-16,6130.90470425321
2004-11-17,6158.729155432508
2004-11-18,6235.421263073672
2004-11-19,6087.036840062699
2004-11-22,6269.32926862563
2004-11-23,6280.3085425232275
2004-11-24,6262.562959145675
2004-11-26,6241.174352062695
2004-11-29,6260.442471930451
2004-11-30,6276.068284117526
2004-12-01,6323.652498128708
2004-12-02,6386.244908470434
2004-12-03,6357.832543874787
2004-12-06,6592.5216478290195
2004-12-07,6571.816849106318
2004-12-08,6654.508923561806
2004-12-09,6709.337072093331
2004-12-10,6724.584017488038
2004-12-13,6803.798747075856
2004-12-14,6880.542052109584
2004-12-15,6818.430673904951
2004-12-16,6862.563529575947
2004-12-17,6790.5643752972055
2004-12-20,6972.780071301417
2004-12-21,7019.657503411688
2004-12-22,7099.446701998288
2004-12-23,7069.3223008610985
2004-12-27,6972.2712800248455
2004-12-28,6998.895943072687
2004-12-29,6967.389769485636
2004-12-30,6926.391301938981
2004-12-31,6895.043762987146
2005-01-03,7080.677248785177
2005-01-04,7071.992663795278
2005-01-05,7042.412768839042
2005-01-06,7138.565805527915
2005-01-07,7106.13793449048
2005-01-10,7079.015918860623
