date,equity,contributions
2025-02-03,150.0,150.0
2025-02-04,147.93830453435004,150.0
2025-02-05,147.67273875272818,150.0
2025-02-06,147.99266232415803,150.0
2025-02-07,146.54376212708573,150.0
2025-02-10,147.80401578808454,150.0
2025-02-11,147.96599934892657,150.0
2025-02-12,146.95947644820626,150.0
2025-02-13,148.67321334328363,150.0
2025-02-14,147.53691569934117,150.0
2025-02-18,147.89602965951775,150.0
2025-02-19,148.2882170355451,150.0
2025-02-20,148.20413482669414,150.0
2025-02-21,145.0104813065571,150.0
2025-02-24,144.71311446482355,150.0
2025-02-25,144.64594895183774,150.0
2025-02-26,144.969369904355,150.0
2025-02-27,143.00748841386604,150.0
2025-02-28,146.32830317261048,150.0
2025-03-03,293.7397533521331,300.0
2025-03-04,291.2476923693607,300.0
2025-03-05,292.49061990356654,300.0
2025-03-06,286.13119696086284,300.0
2025-03-07,286.7817284320858,300.0
2025-03-10,280.68816161053775,300.0
2025-03-11,279.49189937911035,300.0
2025-03-12,281.0431971428609,300.0
2025-03-13,275.9383257929863,300.0
2025-03-14,282.89507905294226,300.0
2025-03-17,433.9581069341996,450.0
2025-03-18,427.05399424736464,450.0
2025-03-19,431.83786776145377,450.0
2025-03-20,431.1762588134509,450.0
2025-03-21,431.4299643750627,450.0
2025-03-24,439.4628133176505,450.0
2025-03-25,440.00901073127227,450.0
2025-03-26,433.44719190738897,450.0
2025-03-27,432.96239844543624,450.0
2025-03-28,424.61427385957313,450.0
2025-03-31,427.51240756235467,450.0
2025-04-01,431.1647220523999,450.0
2025-04-02,430.92046780540767,450.0
2025-04-03,557.5172366588853,600.0
2025-04-04,519.8758440551436,600.0
2025-04-07,524.8502974504612,600.0
2025-04-08,516.5099141804882,600.0
2025-04-09,571.3627962847811,600.0
2025-04-10,540.5114539068497,600.0
2025-04-11,544.2918131030112,600.0
2025-04-14,546.5350297579446,600.0
2025-04-15,546.0295070567095,600.0
2025-04-16,536.0817303419817,600.0
2025-04-17,683.1040351070898,750.0
2025-04-22,682.940262203583,750.0
2025-04-23,694.16430427091,750.0
2025-04-24,710.1578377712318,750.0
2025-04-25,714.4589140262333,750.0
2025-04-28,715.391419806407,750.0
2025-04-29,717.7857017465751,750.0
2025-04-30,717.8992611192152,750.0
2025-05-01,721.041727739165,750.0
2025-05-02,734.7644175756752,750.0
2025-05-05,879.2741316878918,900.0
2025-05-06,871.8997018558795,900.0
2025-05-07,872.2407874574809,900.0
2025-05-08,882.4518315027811,900.0
2025-05-09,887.0800808207906,900.0
2025-05-12,916.3629990792289,900.0
2025-05-13,925.7402010224122,900.0
2025-05-14,924.1241414369466,900.0
2025-05-15,931.7705842980275,900.0
2025-05-16,936.0424384859024,900.0
2025-05-19,1086.9253432715423,1050.0
2025-05-20,1083.6046937791903,1050.0
2025-05-21,1061.711869083356,1050.0
2025-05-22,1058.4272759850087,1050.0
2025-05-23,1050.9903952100758,1050.0
2025-05-27,1063.3807354909543,1050.0
2025-05-28,1062.9398582706385,1050.0
2025-05-29,1070.3115787571182,1050.0
2025-05-30,1065.6102186753901,1050.0
2025-06-02,1065.4417740923916,1050.0
2025-06-03,1220.3075829781535,1200.0
2025-06-04,1220.3626351057926,1200.0
2025-06-05,1211.285922448968,1200.0
2025-06-06,1222.6152420863257,1200.0
2025-06-09,1225.857249316196,1200.0
2025-06-10,1233.554681065432,1200.0
2025-06-11,1227.289074824638,1200.0
2025-06-12,1231.932318626614,1200.0
2025-06-13,1211.9906750794414,1200.0
2025-06-16,1222.3969263423044,1200.0
2025-06-17,1361.1039766165823,1350.0
2025-06-18,1371.8365907560838,1350.0
2025-06-20,1369.8048762251253,1350.0
2025-06-23,1387.7592125914898,1350.0
2025-06-24,1401.997384315547,1350.0
2025-06-25,1402.5786568478536,1350.0
2025-06-26,1412.0487080311343,1350.0
2025-06-27,1411.9336964058232,1350.0
2025-06-30,1422.6670806486832,1350.0
2025-07-01,1414.3063428630883,1350.0
2025-07-02,1424.779770527205,1350.0
2025-07-03,1579.989024298999,1500.0
2025-07-07,1570.0847578938892,1500.0
2025-07-08,1576.3767700203323,1500.0
2025-07-09,1586.1895102647352,1500.0
2025-07-10,1592.4785269903891,1500.0
2025-07-11,1583.6680469627902,1500.0
2025-07-14,1589.9083118781928,1500.0
2025-07-15,1585.5090660691208,1500.0
2025-07-16,1592.1678889891793,1500.0
2025-07-17,1748.7464577246892,1650.0
2025-07-18,1753.4142747390033,1650.0
2025-07-21,1755.2172185923482,1650.0
2025-07-22,1749.3029607705014,1650.0
2025-07-23,1754.961683088304,1650.0
2025-07-24,1755.1812353316584,1650.0
2025-07-25,1767.6627853071295,1650.0
2025-07-28,1775.186501981588,1650.0
2025-07-29,1774.6650020078237,1650.0
2025-07-30,1777.5404343347884,1650.0
2025-07-31,1777.4680161611034,1650.0
2025-08-01,1752.3560060088234,1650.0
2025-08-04,1918.8877820222835,1800.0
2025-08-05,1907.7318014320638,1800.0
2025-08-06,1922.7213744828703,1800.0
2025-08-07,1916.7164987446947,1800.0
2025-08-08,1930.7202031815477,1800.0
2025-08-11,1929.7366971132835,1800.0
2025-08-12,1953.2587954377293,1800.0
2025-08-13,1959.3617175733054,1800.0
2025-08-14,1957.0535158940727,1800.0
2025-08-15,1961.132119503096,1800.0
2025-08-18,2110.9749316575317,1950.0
2025-08-19,2097.5622003204767,1950.0
2025-08-20,2101.674270882715,1950.0
2025-08-21,2094.269094059282,1950.0
2025-08-22,2130.661002628377,1950.0
2025-08-25,2110.3571059978576,1950.0
2025-08-26,2123.867260440543,1950.0
2025-08-27,2124.7285542965424,1950.0
2025-08-28,2124.2377702732597,1950.0
2025-08-29,2106.727783997625,1950.0
