date,equity,shares_value,cash_pool,contributions
2025-05-22,1608.0366402239047,1518.0366402239047,90.0,1500.0
2025-05-23,1597.3703830690913,1507.3703830690913,90.0,1500.0
2025-05-27,1615.1410801759957,1525.1410801759957,90.0,1500.0
2025-05-28,1614.508757304633,1524.508757304633,90.0,1500.0
2025-05-29,1625.081559096377,1535.081559096377,90.0,1500.0
2025-05-30,1618.338689723224,1528.338689723224,90.0,1500.0
2025-06-02,1618.097100098088,1528.097100098088,90.0,1500.0
2025-06-03,1805.075828198268,1685.075828198268,120.0,1650.0
2025-06-04,1805.1518475649175,1685.1518475649175,120.0,1650.0
2025-06-05,1792.6181639995093,1672.6181639995093,120.0,1650.0
2025-06-06,1808.262385945793,1688.262385945793,120.0,1650.0
2025-06-09,1812.739149094774,1692.739149094774,120.0,1650.0
2025-06-10,1823.368236679552,1703.368236679552,120.0,1650.0
2025-06-11,1814.716301894714,1694.716301894714,120.0,1650.0
2025-06-12,1821.1279787574,1701.1279787574,120.0,1650.0
2025-06-13,1793.5913298136327,1673.5913298136327,120.0,1650.0
2025-06-16,1807.9609221277385,1687.9609221277385,120.0,1650.0
2025-06-17,1972.3669219942385,1822.3669219942385,150.0,1800.0
2025-06-18,1986.7366992708976,1836.7366992708976,150.0,1800.0
2025-06-20,1984.0164593628801,1834.0164593628801,150.0,1800.0
2025-06-23,2008.0553199220524,1858.0553199220524,150.0,1800.0
2025-06-24,2027.1186491205274,1877.1186491205274,150.0,1800.0
2025-06-25,2027.896908426016,1877.896908426016,150.0,1800.0
2025-06-26,2040.576254252999,1890.576254252999,150.0,1800.0
2025-06-27,2040.4222664716003,1890.4222664716003,150.0,1800.0
2025-06-30,2054.7930748310505,1904.7930748310505,150.0,1800.0
2025-07-01,2043.598976330354,1893.598976330354,150.0,1800.0
2025-07-02,2057.6217317280943,1907.6217317280943,150.0,1800.0
2025-07-03,2244.5963434587784,2064.5963434587784,180.0,1950.0
2025-07-07,2231.6542838051023,2051.6542838051023,180.0,1950.0
2025-07-08,2239.876154355764,2059.876154355764,180.0,1950.0
2025-07-09,2252.6986153452594,2072.6986153452594,180.0,1950.0
2025-07-10,2260.916571758911,2080.916571758911,180.0,1950.0
2025-07-11,2249.40377985381,2069.40377985381,180.0,1950.0
2025-07-14,2257.558031515318,2077.558031515318,180.0,1950.0
2025-07-15,2251.809468283737,2071.809468283737,180.0,1950.0
2025-07-16,2260.5106562293886,2080.5106562293886,180.0,1950.0
2025-07-17,2449.106974778216,2239.106974778216,210.0,2100.0
2025-07-18,2455.0836797416896,2245.0836797416896,210.0,2100.0
2025-07-21,2457.392181434045,2247.392181434045,210.0,2100.0
2025-07-22,2449.8195251001107,2239.8195251001107,210.0,2100.0
2025-07-23,2457.064992019661,2247.064992019661,210.0,2100.0
2025-07-24,2457.3461082199265,2247.3461082199265,210.0,2100.0
2025-07-25,2473.3275705312117,2263.3275705312117,210.0,2100.0
2025-07-28,2482.9609890337165,2272.9609890337165,210.0,2100.0
2025-07-29,2482.293256885672,2272.293256885672,210.0,2100.0
2025-07-30,2485.97498018545,2275.97498018545,210.0,2100.0
2025-07-31,2485.882255458499,2275.882255458499,210.0,2100.0
2025-08-01,2453.7286651914283,2243.7286651914283,210.0,2100.0
2025-08-04,2654.896064738514,2414.896064738514,240.0,2250.0
2025-08-05,2640.856403911017,2400.856403911017,240.0,2250.0
2025-08-06,2659.7205924850637,2419.7205924850637,240.0,2250.0
2025-08-07,2652.163532126859,2412.163532126859,240.0,2250.0
2025-08-08,2669.787017488092,2429.787017488092,240.0,2250.0
2025-08-11,2668.549287509221,2428.549287509221,240.0,2250.0
2025-08-12,2698.1515514927,2458.1515514927,240.0,2250.0
2025-08-13,2705.8320020050674,2465.8320020050674,240.0,2250.0
2025-08-14,2702.927159312324,2462.927159312324,240.0,2250.0
2025-08-15,2708.060030498089,2468.060030498089,240.0,2250.0
2025-08-18,2887.8622115775484,2617.8622115775484,270.0,2400.0
2025-08-19,2871.2288153231702,2601.2288153231702,270.0,2400.0
2025-08-20,2876.3282762285507,2606.3282762285507,270.0,2400.0
2025-08-21,2867.144968418782,2597.144968418782,270.0,2400.0
2025-08-22,2912.275301717157,2642.275301717157,270.0,2400.0
2025-08-25,2887.096033626523,2617.096033626523,270.0,2400.0
2025-08-26,2903.850246221701,2633.850246221701,270.0,2400.0
2025-08-27,2904.91835394997,2634.91835394997,270.0,2400.0
2025-08-28,2904.3097228718225,2634.3097228718225,270.0,2400.0
2025-08-29,2882.595238863131,2612.595238863131,270.0,2400.0
2025-09-02,2862.782572568517,2592.782572568517,270.0,2400.0
2025-09-03,3063.869361520322,2763.869361520322,300.0,2550.0
2025-09-04,3088.7067043507886,2788.7067043507886,300.0,2550.0
2025-09-05,3085.044863173379,2785.044863173379,300.0,2550.0
2025-09-08,3095.726370244579,2795.726370244579,300.0,2550.0
2025-09-09,3094.290095555736,2794.290095555736,300.0,2550.0
2025-09-10,3112.850094683057,2812.850094683057,300.0,2550.0
2025-09-11,3139.0726818247076,2839.0726818247076,300.0,2550.0
2025-09-12,3132.63529243651,2832.63529243651,300.0,2550.0
2025-09-15,3148.8070099716674,2848.8070099716674,300.0,2550.0
2025-09-16,3131.522411304513,2831.522411304513,300.0,2550.0
2025-09-17,3300.7776021993614,2970.7776021993614,330.0,2700.0
2025-09-18,3321.4145785484407,2991.4145785484407,330.0,2700.0
2025-09-19,3341.0115152553717,3011.0115152553717,330.0,2700.0
2025-09-22,3353.1074209559297,3023.1074209559297,330.0,2700.0
2025-09-23,3346.009861202877,3016.009861202877,330.0,2700.0
2025-09-24,3339.5019688809944,3009.5019688809944,330.0,2700.0
2025-09-25,3337.934386876006,3007.934386876006,330.0,2700.0
2025-09-26,3364.963440954426,3034.963440954426,330.0,2700.0
2025-09-29,3372.8820513641335,3042.8820513641335,330.0,2700.0
2025-09-30,3379.5232362016977,3049.5232362016977,330.0,2700.0
2025-10-01,3391.519463504277,3061.519463504277,330.0,2700.0
2025-10-02,3398.5681259349585,3068.5681259349585,330.0,2700.0
2025-10-03,3583.23331905112,3223.23331905112,360.0,2850.0
2025-10-06,3595.742622373722,3235.742622373722,360.0,2850.0
2025-10-07,3579.360214966784,3219.360214966784,360.0,2850.0
2025-10-08,3600.1362359544055,3240.1362359544055,360.0,2850.0
2025-10-09,3591.1662861928526,3231.1662861928526,360.0,2850.0
2025-10-10,3518.2987721398226,3158.2987721398226,360.0,2850.0
2025-10-13,3562.116224957282,3202.116224957282,360.0,2850.0
2025-10-14,3567.4574302484684,3207.4574302484684,360.0,2850.0
2025-10-15,3583.073930921278,3223.073930921278,360.0,2850.0
2025-10-16,3561.352087147539,3201.352087147539,360.0,2850.0
2025-10-17,3759.5239660234984,3369.5239660234984,390.0,3000.0
2025-10-20,3787.2726297347467,3397.2726297347467,390.0,3000.0
2025-10-21,3791.36693505725,3401.36693505725,390.0,3000.0
2025-10-22,3770.524774527359,3380.524774527359,390.0,3000.0
2025-10-23,3783.027575872009,3393.027575872009,390.0,3000.0
2025-10-24,3810.219124100669,3420.219124100669,390.0,3000.0
2025-10-27,3852.252293757765,3462.252293757765,390.0,3000.0
2025-10-28,3860.9518790696748,3470.9518790696748,390.0,3000.0
2025-10-29,3849.5889652077717,3459.5889652077717,390.0,3000.0
2025-10-30,3812.1290999571897,3422.1290999571897,390.0,3000.0
2025-10-31,3833.156093918074,3443.156093918074,390.0,3000.0
2025-11-03,4028.080742799014,3608.080742799014,420.0,3150.0
2025-11-04,3995.4874878268715,3575.4874878268715,420.0,3150.0
2025-11-05,4019.4925872872936,3599.4925872872936,420.0,3150.0
2025-11-06,3981.2260200594674,3561.2260200594674,420.0,3150.0
2025-11-07,3987.133746308741,3567.133746308741,420.0,3150.0
2025-11-10,4025.3392461255985,3605.3392461255985,420.0,3150.0
2025-11-11,4028.8841362343237,3608.8841362343237,420.0,3150.0
2025-11-12,4028.394620183737,3608.394620183737,420.0,3150.0
2025-11-13,3966.8714207529215,3546.8714207529215,420.0,3150.0
2025-11-14,3972.9231347525283,3552.9231347525283,420.0,3150.0
2025-11-17,4115.483626013635,3665.4836260136353,450.0,3300.0
2025-11-18,4093.0779025171237,3643.0779025171237,450.0,3300.0
2025-11-19,4090.12873788151,3640.12873788151,450.0,3300.0
2025-11-20,4049.3580422916725,3599.3580422916725,450.0,3300.0
