Strategy,Contributions,Final Equity,Total Gain,ROI (%),CAGR (%),Max Drawdown (%)
Simple DCA,2850.0,3075.28199612948,225.28199612947992,7.9046314431396425,4389.330007126864,-7.355346127798246
Variant,3300.0,4049.3580422916725,749.3580422916725,22.707819463384006,4946.193030481265,-6.862000958619485
