date,equity,shares_value,cash_pool
2004-09-07,4955.376565234329,4775.376565234329,180.0
2004-09-08,4954.999105676627,4774.999105676627,180.0
2004-09-09,4937.080828472927,4757.080828472927,180.0
2004-09-10,4975.354945006548,4795.354945006548,180.0
2004-09-13,5029.813485529575,4849.813485529575,180.0
2004-09-14,5009.767716099524,4829.767716099524,180.0
2004-09-15,4984.714005642146,4804.714005642146,180.0
2004-09-16,4975.774041923239,4795.774041923239,180.0
2004-09-17,5201.5498434795845,4991.5498434795845,210.0
2004-09-20,5160.839578371673,4950.839578371673,210.0
2004-09-21,5155.896948859667,4945.896948859667,210.0
2004-09-22,5078.978990107279,4868.978990107279,210.0
2004-09-23,5040.336818032278,4830.336818032278,210.0
2004-09-24,5040.9281230351335,4830.9281230351335,210.0
2004-09-27,5000.358246340945,4790.358246340945,210.0
2004-09-28,5021.7700933633605,4811.7700933633605,210.0
2004-09-29,5040.657961758897,4830.657961758897,210.0
2004-09-30,5006.027046252429,4796.027046252429,210.0
2004-10-01,5084.427235908703,4874.427235908703,210.0
2004-10-04,5317.110820775845,5077.110820775845,240.0
2004-10-05,5274.670633830969,5034.670633830969,240.0
2004-10-06,5303.924616702104,5063.924616702104,240.0
2004-10-07,5247.618984270504,5007.618984270504,240.0
2004-10-08,5173.396874217765,4933.396874217765,240.0
2004-10-11,5206.6343320612095,4966.6343320612095,240.0
2004-10-12,5192.417831759244,4952.417831759244,240.0
2004-10-13,5159.01493853946,4919.01493853946,240.0
2004-10-14,5110.400883509514,4870.400883509514,240.0
2004-10-15,5122.8760204106875,4882.8760204106875,240.0
2004-10-18,5342.448552305089,5072.448552305089,270.0
2004-10-19,5296.553836697053,5026.553836697053,270.0
2004-10-20,5239.8572753883955,4969.8572753883955,270.0
2004-10-21,5267.010056669186,4997.010056669186,270.0
2004-10-22,5173.5153391213435,4903.5153391213435,270.0
2004-10-25,5116.528059189073,4846.528059189073,270.0
2004-10-26,5204.340568207677,4934.340568207677,270.0
2004-10-27,5267.6992322910455,4997.6992322910455,270.0
2004-10-29,5247.10684117569,4977.10684117569,270.0
2004-11-01,5282.8792000663925,5012.8792000663925,270.0
2004-11-02,5298.180613307654,5028.180613307654,270.0
2004-11-03,5462.591821443362,5162.591821443362,300.0
2004-11-04,5532.216341580826,5232.216341580826,300.0
2004-11-05,5521.793769870516,5221.793769870516,300.0
2004-11-08,5502.461903163561,5202.461903163561,300.0
2004-11-09,5515.289795879992,5215.289795879992,300.0
